"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"0.1uF/50V";"0.1UF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C1";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-173610-1-ND";"445-173610-1-ND";"TDK Corporation";"C1005X7R1H104K050BE";"0.1uF/50V";
"1";"MAX30208CLB+T";"MAX30208";"SON65P200X200X85-6N";"U1";"IC TEMP SENSORTemperature Sensor Digital, Local 0°C ~ 70°C 16 b 10-LGA (2x2)";"https://datasheets.maximintegrated.com/en/ds/MAX30208.pdf";"Digikey";"https://www.digikey.com/en/products/detail/maxim-integrated/MAX30208CLB-T/10378675?s=N4IgTCBcDaIIwHYCsBaAsgQQBoGYAMYeAHAMIAyAQgNQAqJNKAcgCIgC6AvkA";"175-MAX30208CLB+TCT-ND";"Maxim Integrated";"MAX30208CLB+T";"MAX30208CLB+T";
"2";"PTH VERT MALE";"1X03_PTH_VERT_MALE_2.54MM";"HDRV3W64P254_1X3_762X254X838B";"J1, J2";"";"https://s3.amazonaws.com/catalogspreads-pdf/PAGE112-113%20.100%20MALE%20HDR.pdf";"Digikey";"https://www.digikey.com/en/products/detail/sullins-connector-solutions/PEC03SAAN/859156?s=N4IgTCBcDaIMoEYAMCwFEC0SDMGByAIiALoC%2BQA";"S1012E-03-ND";"Sullins Connector Solutions";"PEC03SAAN";"PTH VERT MALE";
